Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,5.93,N,50.47,N,14.85,Y,46.34,Y,-1.51,Y,186.6,N,C,,2025-01-18
502137,Deccan Cements Ltd.,DECCANCE,DECCAN CEMENTS LTD.-$,Active,B ,5.0,INE583C01021,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,4.28,N,15.63,N,-0.41,Y,-9.47,Y,3.52,Y,191.68,N,C,,2025-01-18
523754,MAHINDRA EPC IRRIGATION LIMITED,MAHEPC,Mahindra EPC Irrigation Ltd,Active,B ,10.0,INE215D01010,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,42.67,N,27.0,Y,-12.49,Y,-28.7,Y,-14.79,Y,11.01,Y,C,,2025-01-18
523792,Mazda Ltd.,MAZDA,MAZDA LTD.-$,Active,B ,10.0,INE885E01034,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,10.72,N,31.64,N,9.88,Y,-0.42,Y,6.76,Y,470.06,N,C,,2025-01-18
527001,Ashapura Minechem Ltd,ASHAPURMIN,ASHAPURA MINECHEM LTD.,Active,A ,2.0,INE348A01023,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,20.57,N,26.33,N,29.2,N,6.62,Y,-1.4,Y,1440.49,N,C,,2025-01-18
532395,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,Axiscades Technologies Ltd,Active,B ,5.0,INE555B01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.7,N,25.36,N,9.82,Y,-1.0,Y,-20.69,Y,1544.04,N,C,,2025-01-18
532822,VODAFONE IDEA LIMITED,IDEA,Vodafone Idea Ltd,Active,A ,10.0,INE669E01016,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,17.7,N,18.47,N,-39.61,Y,-53.96,Y,-51.91,Y,83.29,N,C,,2025-01-18
532930,BGR ENERGY SYSTEMS LIMITED,BGRENERGY,BGR ENERGY SYSTEMS LTD.,Active,T ,10.0,INE661I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,8.22,N,61.95,N,59.51,Y,100.65,N,-14.92,Y,251.94,N,C,,2025-01-18
533163,ARSS Infrastructure Projects Limited,ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD.,Active,T ,10.0,INE267I01010,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,0.0,N,53.83,N,-2.91,Y,-18.19,Y,-28.05,Y,27.01,Y,C,4,2025-01-18
534675,PROZONE REALTY LIMITED,PROZONER,Prozone Realty Ltd,Active,B ,2.0,INE195N01013,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",12.15,N,55.7,N,-8.21,Y,-20.34,Y,-28.86,Y,136.04,N,C,,2025-01-18
538451,Worth Investment & Trading Co Limited,WORTH,Worth Investment & Trading Co Ltd,Active,X ,1.0,INE114O01020,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,5.42,N,28.59,N,-22.74,Y,0.95,Y,-2.53,Y,197.64,N,C,,2025-01-18
540798,Future Supply Chain Solutions Limited,FSC,Future Supply Chain Solutions Ltd,Active,Z ,10.0,INE935Q01015,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,0.0,N,23.56,N,-22.36,Y,-50.9,Y,-85.9,Y,-98.15,Y,C,8,2025-01-18
540879,Apollo Micro Systems Limited,APOLLO,Apollo Micro Systems Ltd,Active,B ,1.0,INE713T01028,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,8.42,N,35.81,N,-12.76,Y,-12.92,Y,-21.6,Y,1579.86,N,C,,2025-01-18
540937,MEDICO REMEDIES LIMITED,MEDICO,Medico Remedies Ltd,Active,T ,2.0,INE630Y01024,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,6.74,N,33.17,N,5.44,Y,26.74,Y,-41.68,Y,,N,C,,2025-01-18
543264,Nureca Limited,NURECA,Nureca Ltd,Active,B ,10.0,INE0DSF01015,Medical Equipment & Supplies,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,23.66,N,43.04,N,-25.59,Y,4.47,Y,-30.53,Y,,N,C,,2025-01-18
543748,Aarti Pharmalabs Limited,AARTIPHARM,Aarti Pharmalabs Ltd,Active,A ,5.0,INE0LRU01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-0.37,N,15.13,N,-14.2,Y,-11.81,Y,12.38,Y,,N,C,,2025-01-18
543767,BODHI TREE MULTIMEDIA LIMITED,BTML,Bodhi Tree Multimedia Ltd,Active,B ,1.0,INE0EEJ01023,Digital Entertainment,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Digital Entertainment,0.08,N,16.44,N,-12.67,Y,-26.11,Y,-46.67,Y,,N,C,,2025-01-18
