Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Report,1W_value,1M_value,3M_value,6M_value,1Y_value,5Y_value,1W_FLG,1M_FLG,3M_FLG,6M_FLG,1Y_FLG,5Y_FLG
500458,Kore Foods Limited,KORE,Kore Foods Ltd,Active,X ,10.0,INE601A01017,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,C,6.47,143.79,0.0,0.0,0.0,0.0,N,N,Y,Y,Y,Y
505700,Elecon Engineering Co.Ltd.,ELECON,ELECON ENGINEERING CO.LTD.,Active,A ,1.0,INE205B01031,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,C,-0.04,32.69,8.23,74.95,260.6,0.0,N,N,Y,N,N,Y
509020,Ruchi Infrastructure Ltd,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,Active,T ,1.0,INE413B01023,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,C,2.69,30.11,11.18,-18.64,54.31,0.0,N,N,Y,Y,N,Y
509567,Goa Carbon Ltd.,GOACARBON,GOA CARBON LTD.-$,Active,B ,10.0,INE426D01013,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,C,1.34,36.4,-4.78,-23.52,31.62,0.0,N,N,Y,Y,Y,Y
511611,DCM Financial Services Ltd.,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,Active,T ,10.0,INE891B01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,C,19.83,39.42,37.97,94.64,194.59,0.0,N,N,Y,N,N,Y
513509,Kalyani Forge Ltd.,KALYANIFRG,KALYANI FORGE LTD.,Active,B ,10.0,INE314G01014,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings,C,-1.56,30.24,8.11,-0.5,15.61,0.0,N,N,Y,Y,Y,Y
522029,Windsor Machines Limited,WINDMACHIN,WINDSOR MACHINES LTD.,Active,B ,2.0,INE052A01021,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,C,11.67,42.62,8.83,-17.82,17.6,0.0,N,N,Y,Y,Y,Y
522064,HONDA INDIA POWER PRODUCTS LIMITED,HONDAPOWER,Honda India Power Products Ltd,Active,B ,10.0,INE634A01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,C,3.58,37.6,7.62,25.18,59.52,0.0,N,N,Y,Y,N,Y
530555,Paramount Communications Ltd.,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.-$,Active,B ,2.0,INE074B01023,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,C,-16.45,37.96,52.27,34.54,84.07,0.0,N,N,N,Y,N,Y
530699,Raj Rayon Industries Limited,RAJRILTD,Raj Rayon Industries Limited-$,Active,T ,1.0,INE533D01032,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,C,7.89,43.07,95.63,619.64,0.75,0.0,N,N,N,N,Y,Y
