Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.00,INE278B01020,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,-18.61,N,42.86,N,4.48,Y,1.11,Y,4.53,Y,70.08,N,C,,2025-03-06
502137,Deccan Cements Ltd.,DECCANCE,DECCAN CEMENTS LTD.-$,Active,B ,5.00,INE583C01021,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,-3.8,N,25.92,N,13.4,Y,-1.29,Y,1.85,Y,170.23,N,C,,2025-03-06
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.00,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-0.69,N,19.63,N,-29.22,Y,-47.08,Y,-90.23,Y,-11.96,Y,C,6,2025-03-06
504918,Sandur Manganese & Iron Ores Ltd.,SANDUMA,SANDUR MANGANESE & IRON ORES LTD.,Active,A ,10.00,INE149K01016,Coal,Equity,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal,14.02,N,18.86,N,-14.53,Y,-29.07,Y,-11.55,Y,,N,C,,2025-03-06
511218,Shriram Finance Limited,SHRIRAMFIN,Shriram Finance Ltd,Active,A ,2.00,INE721A01047,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),10.21,N,15.88,N,-15.53,Y,-8.04,Y,7.0,Y,342.41,N,C,,2025-03-06
530943,Sri Adhikari Brothers Television Ne,SABTNL,SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,Active,T ,10.00,INE416A01044,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,-7.75,N,17.23,N,-71.71,Y,-1.71,Y,4.17,Y,129.79,N,C,,2025-03-06
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,Z ,5.00,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-18.69,Y,-32.13,Y,-14.3,N,-6.55,N,-19.01,N,87.29,N,G,,2025-03-06
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,-2.24,N,-30.13,Y,21.78,N,30.05,N,33.74,N,1253.13,N,G,,2025-03-06
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.2,N,4.51,N,-46.13,Y,-22.24,N,34.5,N,298.9,N,G,,2025-03-06
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.00,INE278B01020,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,-18.61,Y,42.86,N,4.48,N,1.11,N,4.53,N,70.08,N,G,,2025-03-06
