Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,10.14,N,25.7,N,-2.45,Y,-20.43,Y,-0.82,Y,690.49,N,C,,2025-03-27
500407,Swaraj Engines Ltd.,SWARAJENG,SWARAJ ENGINES LTD.,Active,B ,10.00,INE277A01016,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",2.62,N,34.99,N,-7.88,Y,-16.35,Y,29.16,Y,101.05,N,C,,2025-03-27
503101,Marathon Nextgen Realty Ltd,MARATHON,MARATHON NEXTGEN REALTY LTD.,Active,B ,5.00,INE182D01020,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",11.46,N,15.22,N,-19.68,Y,-18.83,Y,0.48,Y,651.15,N,C,,2025-03-27
505192,SML ISUZU LIMITED,SMLISUZU,SML ISUZU LIMITED,Active,B ,10.00,INE294B01019,Commercial Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,29.53,N,40.72,N,-29.52,Y,-41.54,Y,-36.72,Y,192.32,N,C,,2025-03-27
506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,Active,B ,10.00,INE277B01014,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1.26,N,20.53,N,-29.24,Y,-42.41,Y,-25.3,Y,58.22,N,C,,2025-03-27
509488,Graphite India Ltd.,GRAPHITE,GRAPHITE INDIA LTD.,Active,A ,2.00,INE371A01025,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,7.56,N,17.96,N,-11.67,Y,-19.47,Y,-30.37,Y,115.58,N,C,,2025-03-27
512597,KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSERV,Keynote Financial Services Ltd,Active,B ,10.00,INE681C01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,30.99,N,47.13,N,-15.63,Y,-25.52,Y,46.42,Y,431.07,N,C,,2025-03-27
519156,Vadilal Industries Ltd.,VADILALIND,VADILAL INDUSTRIES LTD.-$,Active,B ,10.00,INE694D01016,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,-4.57,N,32.99,N,0.84,Y,-7.71,Y,1.41,Y,597.76,N,C,,2025-03-27
520113,Vesuvius India Ltd.,VESUVIUS,VESUVIUS INDIA LTD.,Active,A ,10.00,INE386A01015,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,4.11,N,20.13,N,-28.59,Y,-26.08,Y,14.94,Y,335.92,N,C,,2025-03-27
522261,Dolphin Offshore Enterprises (India) ltd.,DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$,Active,T ,1.00,INE920A01037,Offshore Support Solution Drilling,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,8.24,N,28.31,N,-57.79,Y,-67.28,Y,-29.4,Y,634.87,N,C,,2025-03-27
