Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report
500052,Bhansali Engineering Polymers Ltd.,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.0,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,2.71,N,25.72,N,-22.3,Y,21.61,Y,24.84,Y,343.56,N,C
500074,BPL Ltd.,BPL,BPL LTD.,Active,B ,10.0,INE110A01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,4.24,N,26.68,N,-20.53,Y,-6.55,Y,23.15,Y,603.15,N,C
500083,Century Extrusions Ltd.,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,T ,1.0,INE281A01026,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products",6.91,N,30.09,N,-24.62,Y,11.31,Y,17.62,Y,843.64,N,C
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.01,N,22.75,N,-8.1,Y,14.78,Y,-0.37,Y,320.04,N,C
500185,Hindustan Construction Co. Ltd.,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.0,INE549A01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-3.79,N,26.36,N,-24.7,Y,-2.68,Y,11.16,Y,411.8,N,C
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,A ,2.0,INE415A01038,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,-1.62,N,31.97,N,4.77,Y,31.73,Y,0.71,Y,1680.42,N,C
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.0,INE175A01038,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,-6.8,N,15.41,N,-4.39,Y,-5.9,Y,-5.55,Y,1261.05,N,C
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,B ,10.0,INE197D01010,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,-1.36,N,26.97,N,-11.02,Y,56.06,N,25.71,Y,243.95,N,C
500231,Umang Dairies Limited,UMANGDAIRY,UMANG DAIRIES LTD.,Active,T ,5.0,INE864B01027,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,11.94,N,41.52,N,-20.48,Y,-1.57,Y,20.26,Y,146.69,N,C
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B ,10.0,INE437B01014,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,2.53,N,15.03,N,-19.88,Y,-15.64,Y,-23.4,Y,29.86,N,C
