Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Report,1W_value,1M_value,3M_value,6M_value,1Y_value,5Y_value,1W_FLG,1M_FLG,3M_FLG,6M_FLG,1Y_FLG,5Y_FLG
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.0,INE260B01028,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,C,10.6,32.94,30.83,9.64,63.65,0.0,N,N,Y,Y,N,Y
500458,Kore Foods Limited,KORE,Kore Foods Ltd,Active,X ,10.0,INE601A01017,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,C,4.62,128.43,0.0,0.0,0.0,0.0,N,N,Y,Y,Y,Y
507552,Foods & Inns Ltd.,FOODSIN,FOODS & INNS LTD.,Active,B ,1.0,INE976E01023,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,C,21.8,39.24,52.29,7.73,0.0,0.0,N,N,N,Y,Y,Y
509567,Goa Carbon Ltd.,GOACARBON,GOA CARBON LTD.-$,Active,B ,10.0,INE426D01013,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,C,15.3,48.98,-5.69,-26.2,32.49,0.0,N,N,Y,Y,Y,Y
511611,DCM Financial Services Ltd.,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,Active,T ,10.0,INE891B01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,C,19.69,39.45,36.84,85.71,173.68,0.0,N,N,Y,N,N,Y
514450,Mahalaxmi Rubtech Ltd.,MHLXMIRU,MAHALAXMI RUBTECH LTD.,Active,B ,10.0,INE112D01035,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,C,-0.52,32.86,27.69,16.45,0.0,0.0,N,N,Y,Y,Y,Y
522029,Windsor Machines Limited,WINDMACHIN,WINDSOR MACHINES LTD.,Active,B ,2.0,INE052A01021,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,C,15.42,46.57,2.43,-13.91,20.07,0.0,N,N,Y,Y,Y,Y
522064,HONDA INDIA POWER PRODUCTS LIMITED,HONDAPOWER,Honda India Power Products Ltd,Active,B ,10.0,INE634A01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,C,-2.02,31.7,5.84,27.5,58.79,0.0,N,N,Y,Y,N,Y
530555,Paramount Communications Ltd.,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.-$,Active,B ,2.0,INE074B01023,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,C,-10.81,40.56,47.27,35.0,80.0,0.0,N,N,N,Y,N,Y
530699,Raj Rayon Industries Limited,RAJRILTD,Raj Rayon Industries Limited-$,Active,T ,1.0,INE533D01032,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,C,7.93,42.96,99.51,608.62,2.75,0.0,N,N,N,N,Y,Y
530871,Chembond Chemicals Ltd.,CHEMBOND,CHEMBOND CHEMICALS LTD.-$,Active,B ,5.0,INE995D01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,C,19.32,41.68,7.86,-4.05,-12.53,0.0,N,N,Y,Y,Y,Y
531241,LINC LIMITED,LINC,Linc Ltd-$,Active,B ,10.0,INE802B01019,Stationary,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,C,6.82,32.55,12.42,-2.3,81.91,0.0,N,N,Y,Y,N,Y
531892,Khandwala Securities Ltd.,KHANDSE,KHANDWALA SECURITIES LTD.,Active,B ,10.0,INE060B01014,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,C,19.67,39.69,-33.15,4.26,74.38,0.0,N,N,Y,Y,N,Y
532149,Bank of India,BANKINDIA,BANK OF INDIA,Active,A ,10.0,INE084A01016,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,C,-0.4,54.47,2.85,-6.39,-29.31,0.0,N,N,Y,Y,Y,Y
532150,Indraprastha Medical Corporation Lt,INDRAMEDCO,INDRAPRASTHA MEDICAL CORP.LTD.,Active,B ,10.0,INE681B01017,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital,C,4.62,43.09,12.74,-8.09,-7.19,0.0,N,N,Y,Y,Y,Y
532218,South Indian Bank Ltd.,SOUTHBANK,SOUTH INDIAN BANK LTD.,Active,A ,1.0,INE683A01023,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,C,0.0,44.72,25.81,17.47,22.64,0.0,N,N,Y,Y,Y,Y
532268,ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA,Accelya Solutions India Ltd,Active,B ,10.0,INE793A01012,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,C,6.21,41.23,16.88,10.57,14.19,0.0,N,N,Y,Y,Y,Y
532395,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,Axiscades Technologies Ltd,Active,B ,5.0,INE555B01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,C,-3.47,75.87,35.52,0.62,170.81,0.0,N,N,Y,Y,N,Y
532440,MPS Limited,MPSLTD,MPS LTD.,Active,B ,10.0,INE943D01017,E-Learning,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning,C,-1.33,30.85,-11.36,5.41,10.69,0.0,N,N,Y,Y,Y,Y
532477,Union Bank of India,UNIONBANK,UNION BANK OF INDIA,Active,A ,10.0,INE692A01016,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,C,5.09,52.88,20.41,6.55,28.51,0.0,N,N,Y,Y,Y,Y
