Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report
526325,Orient Press ltd.,ORIENTLTD,ORIENT PRESS LTD.,Active,B ,10.0,INE609C01024,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,6.27,N,15.31,N,3.03,Y,2.44,Y,29.64,N,8.85,Y,C
526650,Tourism Finance Corpn. Of India Ltd,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.,Active,B ,10.0,INE305A01015,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution,21.54,N,29.51,N,-26.13,Y,-25.51,Y,26.63,Y,89.43,N,C
530011,Mangalore Chemicals & Fertilisers L,MANGCHEFER,MANGALORE CHEMICALS & FERTILIZERS LTD.,Active,B ,10.0,INE558B01017,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,4.55,N,17.04,N,6.8,Y,12.07,Y,16.56,Y,306.97,N,C
531373,The Byke Hospitality    Ltd,BYKE,THE BYKE HOSPITALITY LTD.,Active,B ,10.0,INE319B01014,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,2.2,N,18.09,N,-14.42,Y,-11.59,Y,13.72,Y,247.52,N,C
531543,Jindal Worldwide Ltd.,JINDWORLD,JINDAL WORLDWIDE LTD.,Active,A ,1.0,INE247D01039,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,-3.67,N,15.67,N,-24.05,Y,-14.08,Y,-14.12,Y,374.75,N,C
531595,Capri Global Capital Limited,CGCL,Capri Global Capital Limited,Active,A ,1.0,INE180C01042,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),10.9,N,15.57,N,-13.67,Y,-20.04,Y,-76.02,Y,-11.72,Y,C
532219,Energy Development Company Ltd.,ENERGYDEV,ENERGY DEVELOPMENT COMPANY LTD.,Active,B ,10.0,INE306C01019,Power Generation,Equity,Utilities,Power,Power,Power Generation,-9.26,N,25.84,N,-22.58,Y,-14.59,Y,1.18,Y,287.55,N,C
532309,GE Power India Limited,GEPIL,GE Power India Ltd,Active,B ,10.0,INE878A01011,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,2.61,N,25.79,N,-34.3,Y,-5.5,Y,95.0,N,-56.58,Y,C
532310,Shree Rama Multi-tech Ltd.,SHREERAMA,SHREE RAMA MULTI-TECH LTD.,Active,T ,5.0,INE879A01019,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,30.45,N,82.86,N,-3.66,Y,12.82,Y,-14.63,Y,416.3,N,C
532369,Ramco Industries Ltd,RAMCOIND,RAMCO INDUSTRIES LTD.,Active,B ,1.0,INE614A01028,Other Construction Materials,Equity,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,0.96,N,21.5,N,-1.23,Y,5.35,Y,19.67,Y,40.6,N,C
