Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
502137,Deccan Cements Ltd.,DECCANCE,DECCAN CEMENTS LTD.-$,Active,B ,5.00,INE583C01021,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,50.64,N,40.06,Y,19.68,Y,1.09,Y,3.25,Y,175.15,N,C,,2025-02-27
504741,Indian Hume Pipe Co. Ltd.,INDIANHUME,INDIAN HUME PIPE CO.LTD.,Active,B ,2.00,INE323C01030,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,16.83,N,25.55,N,-26.13,Y,-40.15,Y,21.32,Y,115.72,N,C,,2025-02-27
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.00,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,21.51,N,22.87,N,-22.48,Y,-47.82,Y,-89.54,Y,-0.31,Y,C,1,2025-02-27
512070,UPL Limited,UPL,UPL Limited,Active,A ,2.00,INE628A01036,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,2.28,N,19.78,N,1.98,Y,-1.95,Y,9.0,Y,39.85,N,C,,2025-02-27
514418,Mangalam Organics Limited,MANORG,Mangalam Organics Limited,Active,B ,10.00,INE370D01013,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,21.01,N,17.11,Y,-21.06,Y,-5.86,Y,13.98,Y,,N,C,,2025-02-27
531146,Medicamen Biotech Ltd.,MEDICAMEQ,MEDICAMEN BIOTECH LTD.-$,Active,B ,10.00,INE646B01010,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,11.34,N,16.49,N,-5.94,Y,4.19,Y,-13.23,Y,,N,C,,2025-02-27
503031,Peninsula Land Limited,PENINLAND,PENINSULA LAND LTD.,Active,T ,2.00,INE138A01028,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-0.8,N,-32.58,Y,-11.76,N,-41.46,N,-37.85,N,1232.54,N,G,,2025-02-27
504286,DELTA MANUFACTURING LIMITED ,DELTAMAGNT,Delta Manufacturing Ltd,Active,T ,10.00,INE393A01011,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,0.49,N,-32.31,Y,12.02,N,9.36,N,5.82,N,453.0,N,G,,2025-02-27
505029,Atlas Cycles (Haryana) Ltd.,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,Active,T ,5.00,INE446A01025,Cycles,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,-7.78,N,-34.63,Y,487.59,N,487.59,N,487.59,N,283.53,N,G,,2025-02-27
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.00,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,21.51,N,22.87,N,-22.48,N,-47.82,N,-89.54,Y,-0.31,Y,G,,2025-02-27
