Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.41,N,54.35,N,14.25,Y,26.05,Y,32.99,Y,776.62,N,C
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,6.37,N,26.07,N,-5.87,Y,15.48,Y,5.81,Y,290.97,N,C
500185,Hindustan Construction Co. Ltd.,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.0,INE549A01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-0.02,N,30.33,N,-18.87,Y,4.24,Y,17.07,Y,401.49,N,C
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,A ,2.0,INE415A01038,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,-2.63,N,26.96,N,12.1,Y,38.43,N,1.05,Y,1737.67,N,C
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.0,INE175A01038,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,3.67,N,19.62,N,-0.13,Y,-1.06,Y,-1.85,Y,1334.68,N,C
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,B ,10.0,INE197D01010,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,-1.79,N,35.06,N,7.14,Y,57.98,N,26.71,Y,235.13,N,C
500231,Umang Dairies Limited,UMANGDAIRY,UMANG DAIRIES LTD.,Active,T ,5.0,INE864B01027,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,-6.44,N,29.81,N,-16.23,Y,0.05,Y,22.49,Y,149.93,N,C
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.0,INE331A01037,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,2.59,N,17.74,N,16.06,Y,18.24,N,-11.11,Y,25.08,N,C
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,A ,5.0,INE271B01025,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,4.06,N,31.17,N,6.27,Y,-23.67,Y,-42.47,Y,300.95,N,C
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,B ,10.0,INE846D01012,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,13.67,N,40.49,N,-1.76,Y,6.76,Y,-11.35,Y,,N,C
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.0,INE140A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.9,N,23.71,N,15.95,Y,23.23,Y,9.28,Y,35.21,N,C
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,Active,A ,10.0,INE301A01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",12.31,N,20.88,N,-15.09,Y,-26.94,Y,-1.71,Y,226.35,N,C
