Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,9.84,N,28.88,N,-0.58,Y,-17.09,Y,0.28,Y,736.19,N,C,,2025-03-28
500407,Swaraj Engines Ltd.,SWARAJENG,SWARAJ ENGINES LTD.,Active,B ,10.00,INE277A01016,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",3.39,N,34.84,N,-7.68,Y,-15.73,Y,27.33,Y,101.63,N,C,,2025-03-28
503101,Marathon Nextgen Realty Ltd,MARATHON,MARATHON NEXTGEN REALTY LTD.,Active,B ,5.00,INE182D01020,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",13.22,N,17.57,N,-23.4,Y,-21.01,Y,-2.5,Y,651.53,N,C,,2025-03-28
505192,SML ISUZU LIMITED,SMLISUZU,SML ISUZU LIMITED,Active,B ,10.00,INE294B01019,Commercial Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,14.05,N,44.34,N,-29.84,Y,-43.2,Y,-35.98,Y,193.79,N,C,,2025-03-28
506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,Active,B ,10.00,INE277B01014,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,-3.12,N,16.12,N,-33.6,Y,-46.98,Y,-29.7,Y,59.09,N,C,,2025-03-28
509488,Graphite India Ltd.,GRAPHITE,GRAPHITE INDIA LTD.,Active,A ,2.00,INE371A01025,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,9.74,N,22.86,N,-13.02,Y,-20.43,Y,-29.14,Y,118.84,N,C,,2025-03-28
509631,HEG Ltd.,HEG,HEG LTD.,Active,A ,2.00,INE545A01024,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,17.73,N,40.3,N,-13.69,Y,-11.63,Y,-0.7,Y,103.59,N,C,,2025-03-28
512597,KEYNOTE FINANCIAL SERVICES LIMITED,KEYFINSERV,Keynote Financial Services Ltd,Active,B ,10.00,INE681C01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,28.18,N,54.59,N,-16.26,Y,-25.95,Y,40.62,Y,443.34,N,C,,2025-03-28
519156,Vadilal Industries Ltd.,VADILALIND,VADILAL INDUSTRIES LTD.-$,Active,B ,10.00,INE694D01016,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,-9.91,N,17.2,N,2.82,Y,-7.1,Y,2.77,Y,597.29,N,C,,2025-03-28
522261,Dolphin Offshore Enterprises (India) ltd.,DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$,Active,T ,1.00,INE920A01037,Offshore Support Solution Drilling,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,8.24,N,36.32,N,-59.04,Y,-68.72,Y,-31.02,Y,603.78,N,C,,2025-03-28
524129,Vinyl Chemicals (India) Ltd.,VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.,Active,B ,1.00,INE250B01029,Trading - Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals,23.9,N,23.58,Y,-29.06,Y,-42.11,Y,-26.65,Y,165.52,N,C,,2025-03-28
524709,NACL Industries Limited,NACLIND,NACL Industries Ltd,Active,B ,1.00,INE295D01020,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,-3.73,N,64.38,N,17.71,Y,3.42,Y,2.29,Y,54.95,Y,C,1,2025-03-28
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,Z ,5.00,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-4.33,N,-49.12,Y,-25.07,N,-23.42,N,-19.9,N,62.77,N,G,,2025-03-28
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.36,N,5.84,N,-42.73,Y,-3.1,N,10.7,N,740.98,N,G,,2025-03-28
500304,NIIT Ltd.,NIITLTD,NIIT LTD.,Active,B ,2.00,INE161A01038,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,-0.57,N,-1.11,N,-44.08,Y,-28.53,N,19.21,N,32.56,N,G,,2025-03-28
502937,Kesoram Industries Ltd,KESORAMIND,KESORAM INDUSTRIES LTD.,Active,A ,10.00,INE087A01019,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,-27.11,Y,-97.67,Y,-1.22,N,1.44,N,33.27,N,616.76,N,G,,2025-03-28
503031,Peninsula Land Limited,PENINLAND,PENINSULA LAND LTD.,Active,T ,2.00,INE138A01028,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-4.4,N,-3.81,N,-50.09,Y,-58.55,Y,-44.9,N,415.35,N,G,,2025-03-28
504807,Summit Securities Limited,SUMMITSEC,SUMMIT SECURITIES LTD.,Delisted,B ,10.00,INE852A01016, ,Equity,-,-,-,-,-1.24,N,21.51,N,-47.92,Y,-28.36,N,33.07,N,375.49,N,G,,2025-03-28
533306,SUMMIT SECURITIES LTD.,SUMMITSEC,SUMMIT SECURITIES LTD.,Active,B ,10.00,INE519C01017,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,-1.24,N,21.51,N,-47.92,Y,-28.36,N,33.07,N,375.49,N,G,,2025-03-28
505196,TIL Ltd.,TIL,TIL LTD.,Active,B ,10.00,INE806C01018,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,21.2,N,11.37,N,-32.26,N,-52.01,Y,35.51,N,32.24,N,G,,2025-03-28
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.00,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-3.4,N,-14.84,N,-13.26,N,-37.39,N,-88.18,Y,-18.65,Y,G,,2025-03-28
