Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500540,Premier Limited,PREMIER,PREMIER LTD.,Active,T ,10.0,INE342A01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,3.51,N,15.36,N,-27.29,Y,-23.98,Y,-22.68,Y,126.43,N,C,,2025-01-30
503806,SRF Ltd.,SRF,SRF LTD.,Active,A ,10.0,INE647A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,2.62,N,20.51,N,-10.4,Y,-9.12,Y,-3.08,Y,203.66,N,C,,2025-01-30
505029,Atlas Cycles (Haryana) Ltd.,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,Active,T ,5.0,INE446A01025,Cycles,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,-7.78,N,108.37,N,152.76,N,152.76,N,152.76,N,101.99,Y,C,2,2025-01-30
527001,Ashapura Minechem Ltd,ASHAPURMIN,ASHAPURA MINECHEM LTD.,Active,B ,2.0,INE348A01023,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,-11.12,N,19.66,N,29.36,N,-6.93,Y,-10.29,Y,1290.36,N,C,,2025-01-30
531553,DISHA RESOURCES LIMITED,DRL,Disha Resources Ltd,Active,XT,10.0,INE193D01019,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,20.99,N,51.94,N,-0.77,Y,-51.59,Y,-6.52,Y,77.93,N,C,,2025-01-30
532440,MPS Limited,MPSLTD,MPS LTD.,Active,B ,10.0,INE943D01017,E-Learning,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning,11.75,N,16.76,N,-7.63,Y,-6.24,Y,16.17,Y,630.79,N,C,,2025-01-30
532930,BGR ENERGY SYSTEMS LIMITED,BGRENERGY,BGR ENERGY SYSTEMS LTD.,Active,T ,10.0,INE661I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-4.01,N,31.68,N,105.71,N,153.3,N,0.74,Y,321.58,N,C,,2025-01-30
540937,MEDICO REMEDIES LIMITED,MEDICO,Medico Remedies Ltd,Active,B ,2.0,INE630Y01024,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,1.46,N,28.66,N,7.75,Y,37.27,N,-37.06,Y,,N,C,,2025-01-30
541770,CreditAccess Grameen Ltd.,CREDITACC,CreditAccess Grameen Ltd,Active,A ,10.0,INE741K01010,Microfinance Institutions,Equity,Financial Services,Financial Services,Finance,Microfinance Institutions,10.08,N,20.01,N,-25.97,Y,-35.5,Y,-47.09,Y,98.64,N,C,,2025-01-30
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,A ,2.0,INE415A01038,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,-23.32,Y,-29.54,N,16.67,N,47.77,N,39.75,N,2134.4,N,G,,2025-01-30
500342,Prudential Sugar Corporation Ltd,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LTD.,Active,T ,10.0,INE024D01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,-8.3,N,-30.88,Y,19.68,N,194.21,N,94.39,N,,N,G,,2025-01-30
500402,SPML Infra Limited,SPMLINFRA,SPML Infra Limited,Active,T ,2.0,INE937A01023,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-14.8,N,-30.71,Y,-7.09,N,52.28,N,157.84,N,3753.94,N,G,,2025-01-30
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,T ,10.0,INE947A01014,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,-16.0,Y,-13.6,N,2.99,N,11.72,N,13.85,N,845.04,N,G,,2025-01-30
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,A ,1.0,INE338A01024,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,-19.32,Y,-27.44,N,-0.68,N,4.51,N,30.41,N,595.88,N,G,,2025-01-30
505196,TIL Ltd.,TIL,TIL LTD.,Active,B ,10.0,INE806C01018,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,-15.71,Y,-20.92,N,-13.43,N,-6.65,N,-28.07,N,112.78,N,G,,2025-01-30
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.0,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-13.17,N,-30.7,Y,-0.51,N,-34.68,N,-84.06,Y,29.01,N,G,,2025-01-30
505720,Hercules Hoists Ltd.,HERCULES,HERCULES HOISTS LTD.,Active,T ,1.0,INE688E01024,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,-6.55,N,-13.01,N,-57.63,Y,-62.11,Y,-49.62,N,200.14,N,G,,2025-01-30
505726,IFB Industries Limited,IFBIND,IFB INDUSTRIES LTD.,Active,B ,10.0,INE559A01017,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,-23.01,Y,-27.24,N,4.89,N,11.05,N,86.4,N,369.85,N,G,,2025-01-30
506405,DMCC SPECIALITY CHEMICALS LIMITED,DMCC,DMCC Speciality Chemicals Ltd,Active,T ,10.0,INE505A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,-15.21,Y,-16.3,N,35.37,N,11.92,N,9.28,N,,N,G,,2025-01-30
506579,Oriental Carbon & Chemicals Ltd.,OCCL,ORIENTAL CARBON & CHEMICALS LTD.-$,Active,B ,10.0,INE321D01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,-2.89,N,-10.25,N,-12.81,N,6.95,N,-75.41,Y,-63.68,Y,G,,2025-01-30
511726,Vipul Limited,VIPULLTD,VIPUL LTD.,Active,T ,1.0,INE946H01037,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-18.56,Y,-32.1,Y,-31.14,N,-48.14,N,36.49,N,50.79,N,G,,2025-01-30
512237,Jai Corp Limited,JAICORPLTD,JAI CORP LTD.,Active,A ,1.0,INE070D01027,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,-5.47,N,-57.96,Y,-11.56,N,-19.71,N,-14.76,N,376.86,N,G,,2025-01-30
515018,Regency Ceramics Ltd,REGENCERAM,REGENCY CERAMICS LTD.,Active,T ,10.0,INE277C01012,Ceramics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,-0.36,N,13.07,N,-44.21,Y,-9.12,N,8.1,N,5156.84,N,G,,2025-01-30
515055,Anant Raj Limited,ANANTRAJ,Anant Raj Limited-$,Active,A ,2.0,INE242C01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-30.79,Y,-31.33,Y,21.43,N,92.8,N,170.21,N,12002.43,N,G,,2025-01-30
517059,Salzer Electronics Ltd.,SALZERELEC,SALZER ELECTRONICS LTD.-$,Active,B ,10.0,INE457F01013,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,-15.16,Y,-10.53,N,48.92,N,53.92,N,210.04,N,1911.88,N,G,,2025-01-30
517411,Shyam Telecom Ltd.,SHYAMTEL,SHYAM TELECOM LTD.,Active,T ,10.0,INE635A01023,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,-18.56,Y,-28.29,N,42.36,N,21.97,N,92.04,N,218.98,N,G,,2025-01-30
521180,Super Spinning Mills Ltd.,SUPERSPIN,SUPER SPINNING MILLS LTD.,Active,T ,1.0,INE662A01027,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,-15.09,Y,-5.5,N,18.2,N,66.87,N,66.47,N,265.79,N,G,,2025-01-30
522261,Dolphin Offshore Enterprises (India) ltd.,DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$,Active,B ,1.0,INE920A01037,Offshore Support Solution Drilling,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,-10.42,N,-32.88,Y,10.03,N,-17.38,N,232.94,N,1740.87,N,G,,2025-01-30
