Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500366,Rolta India Ltd.,ROLTA,ROLTA INDIA LTD.,Active,Z ,10.0,INE293A01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,-5.16,N,19.5,N,-7.58,Y,-38.16,Y,26.54,N,-4.64,Y,C,1,2025-01-24
522217,Gujarat Apollo Industries Ltd.,GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.,Active,T ,10.0,INE826C01016,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,-8.79,N,21.73,N,-14.56,Y,31.82,N,2.79,Y,139.49,N,C,,2025-01-24
523754,MAHINDRA EPC IRRIGATION LIMITED,MAHEPC,Mahindra EPC Irrigation Ltd,Active,B ,10.0,INE215D01010,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,-2.6,N,29.98,N,-14.57,Y,-29.85,Y,-19.8,Y,9.9,Y,C,4,2025-01-24
523792,Mazda Ltd.,MAZDA,MAZDA LTD.-$,Active,B ,10.0,INE885E01034,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,-9.12,N,19.05,N,16.71,Y,6.1,Y,-4.64,Y,461.84,N,C,,2025-01-24
526027,Cubex Tubings Ltd,CUBEXTUB,CUBEX TUBINGS LTD.,Active,B ,10.0,INE144D01012,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products",8.67,N,46.08,N,-13.55,Y,-1.72,Y,28.17,Y,659.15,N,C,,2025-01-24
527001,Ashapura Minechem Ltd,ASHAPURMIN,ASHAPURA MINECHEM LTD.,Active,A ,2.0,INE348A01023,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,4.66,N,38.44,N,32.15,Y,-5.03,Y,-7.25,Y,1192.97,N,C,,2025-01-24
531179,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),7.42,N,21.57,N,-32.15,Y,-45.01,Y,-51.99,Y,198.67,N,C,,2025-01-24
531449,GRM Overseas Ltd.,GRMOVER,GRM OVERSEAS LTD.,Active,B ,2.0,INE192H01020,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,9.32,N,19.84,N,-28.82,Y,2.42,Y,0.31,Y,,N,C,,2025-01-24
531553,DISHA RESOURCES LIMITED,DRL,Disha Resources Ltd,Active,X ,10.0,INE193D01019,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,9.83,N,25.58,N,-0.77,Y,-51.59,Y,-6.52,Y,77.93,N,C,,2025-01-24
532395,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,Axiscades Technologies Ltd,Active,B ,5.0,INE555B01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,-1.18,N,15.9,N,7.99,Y,13.24,Y,-19.82,Y,1454.46,N,C,,2025-01-24
