Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,5.15,N,32.74,N,-3.83,Y,-19.5,Y,-8.31,Y,667.37,N,C,,2025-04-04
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,4.85,N,24.74,N,-27.02,Y,-24.94,Y,21.35,Y,231.41,N,C,,2025-04-04
500048,BEML Ltd,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,13.2,N,29.42,N,-42.3,Y,-35.38,Y,-21.09,Y,356.36,N,C,,2025-04-04
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,Active,B ,1.00,INE600A01035,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,11.03,N,22.85,N,-18.51,Y,-3.45,Y,3.62,Y,89.32,N,C,,2025-04-04
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A ,10.00,INE340A01012,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,3.3,N,17.09,N,-23.35,Y,-26.86,Y,-31.41,Y,68.02,N,C,,2025-04-04
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10.00,INE010A01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,3.45,N,18.62,N,-39.08,Y,-31.03,Y,-33.17,Y,144.94,N,C,,2025-04-04
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A ,2.00,INE855B01025,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,6.51,N,17.56,N,-23.59,Y,-27.32,Y,-22.15,Y,59.96,N,C,,2025-04-04
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A ,2.00,INE180A01020,Life Insurance,Equity,Financial Services,Financial Services,Insurance,Life Insurance,2.39,N,16.0,N,-12.63,Y,-10.42,Y,1.05,Y,84.15,N,C,,2025-04-04
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,T ,10.00,INE846D01012,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,17.03,N,16.28,Y,-13.64,Y,-14.07,Y,2.49,Y,,N,C,,2025-04-04
500294,NCC Limited,NCC,NCC Limited,Active,A ,2.00,INE868B01028,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,2.74,N,21.16,N,-44.36,Y,-45.68,Y,-28.22,Y,500.34,N,C,,2025-04-04
502157,Mangalam Cement Ltd.,MANGLMCEM,MANGALAM CEMENT LTD.,Active,B ,10.00,INE347A01017,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,5.7,N,16.76,N,-23.48,Y,-30.64,Y,0.66,Y,284.63,N,C,,2025-04-04
503101,Marathon Nextgen Realty Ltd,MARATHON,MARATHON NEXTGEN REALTY LTD.,Active,B ,5.00,INE182D01020,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-1.01,N,35.55,N,-33.43,Y,-32.05,Y,-20.15,Y,655.17,N,C,,2025-04-04
504112,Nelco Ltd,NELCO,NELCO LTD.,Active,B ,10.00,INE045B01015,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,-0.28,N,20.09,N,-38.15,Y,-37.05,Y,8.28,Y,287.42,N,C,,2025-04-04
505324,Manugraph India Ltd,MANUGRAPH,MANUGRAPH INDIA LTD.-$,Active,B ,2.00,INE867A01022,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,5.34,N,24.64,N,-33.51,Y,-41.88,Y,-26.38,Y,46.54,N,C,,2025-04-04
505526,DOLAT ALGOTECH LIMITED,DOLATALGO,Dolat Algotech Ltd,Active,B ,1.00,INE966A01022,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,7.04,N,21.66,N,-44.54,Y,-51.85,Y,9.85,Y,53.19,N,C,,2025-04-04
504741,Indian Hume Pipe Co. Ltd.,INDIANHUME,INDIAN HUME PIPE CO.LTD.,Active,B ,2.00,INE323C01030,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,3.31,N,24.23,N,-27.27,Y,-42.93,Y,21.74,Y,102.26,N,C,,2025-04-04
