Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,-7.44,N,31.56,N,19.77,Y,69.88,N,-2.78,Y,250.49,N,C,,2025-01-07
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,B ,10.0,INE846D01012,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,15.74,N,29.26,N,0.9,Y,32.07,N,-9.6,Y,,N,C,,2025-01-07
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,A ,10.0,INE947A01014,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,19.92,N,39.19,N,2.74,Y,7.45,Y,0.52,Y,850.2,N,C,,2025-01-07
501455,Greaves Cotton Ltd.,GREAVESCOT,GREAVES COTTON LTD.,Active,A ,2.0,INE224A01026,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",-4.48,N,34.08,N,18.75,Y,62.25,N,33.28,Y,191.62,N,C,,2025-01-07
504212,Universal Cables Ltd.,UNIVCABLES,UNIVERSAL CABLES LTD.,Active,B ,10.0,INE279A01012,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,0.3,N,33.15,N,-9.42,Y,-1.26,Y,23.7,Y,703.03,N,C,,2025-01-07
511194,ICDS Ltd.,ICDSLTD,ICDS LTD.,Active,T ,10.0,INE613B01010,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,-2.52,N,18.6,N,18.46,Y,39.44,N,-13.01,Y,,N,C,,2025-01-07
514450,Mahalaxmi Rubtech Ltd.,MHLXMIRU,MAHALAXMI RUBTECH LTD.,Active,B ,10.0,INE112D01035,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.5,N,56.88,N,-11.09,Y,-24.36,Y,-50.07,Y,,N,C,,2025-01-07
517544,Centum Electronics Ltd,CENTUM,CENTUM ELECTRONICS LTD.,Active,B ,10.0,INE320B01020,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,1.31,N,26.19,N,-10.31,Y,5.14,Y,22.11,Y,580.83,N,C,,2025-01-07
519494,N.K.Industries Ltd.,NKIND,N.K.INDUSTRIES LTD.,Active,B ,10.0,INE542C01019,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,-11.66,N,20.82,N,-3.25,Y,17.23,Y,-8.69,Y,406.86,N,C,,2025-01-07
519528,Norben Tea & Exports Ltd,NORBTEAEXP,NORBEN TEA & EXPORTS LTD.,Active,T ,10.0,INE369C01017,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,12.98,N,62.63,N,-1.6,Y,38.78,Y,46.42,Y,349.58,N,C,,2025-01-07
521014,Eurotex Industries & Exports Ltd.,EUROTEXIND,EUROTEX INDUSTRIES & EXPORTS LTD.,Active,T ,10.0,INE022C01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,-4.65,N,38.05,N,-30.83,Y,-10.99,Y,-13.84,Y,27.46,Y,C,10,2025-01-07
523610,ITI Limited (Indian Teleph.Ind.Ltd),ITI,ITI LTD.,Active,A ,10.0,INE248A01017,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,40.6,N,69.47,N,-4.67,Y,2.89,Y,-5.75,Y,395.2,N,C,,2025-01-07
523836,Gujarat Raffia Ind. Ltd.,GUJRAFFIA,GUJARAT RAFFIA INDUSTRIES LTD.,Active,B ,10.0,INE610B01024,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,-7.79,N,71.16,N,1.66,Y,21.14,Y,-14.52,Y,543.29,N,C,,2025-01-07
524709,NACL Industries Limited,NACLIND,NACL Industries Ltd,Active,B ,1.0,INE295D01020,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,-1.61,N,23.57,N,-9.62,Y,-18.09,Y,-28.88,Y,165.34,N,C,,2025-01-07
532395,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,Axiscades Technologies Ltd,Active,B ,5.0,INE555B01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,13.87,N,31.34,N,-12.46,Y,10.5,Y,-24.11,Y,1713.98,N,C,,2025-01-07
532408,Megasoft Ltd.,MEGASOFT,MEGASOFT LTD.,Active,T ,10.0,INE933B01012,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,10.35,N,41.13,N,37.81,Y,11.57,Y,7.94,Y,1567.78,N,C,,2025-01-07
532649,Nectar Lifesciences Limited,NECLIFE,NECTAR LIFESCIENCES LTD.,Active,T ,1.0,INE023H01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,1.05,N,18.57,N,-28.25,Y,14.33,Y,2.26,Y,256.84,N,C,,2025-01-07
532847,HILTON METAL FORGING LIMITED,HILTON,HILTON METAL FORGING LTD.,Active,B ,10.0,INE788H01017,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings,12.95,N,22.21,N,4.76,Y,-16.74,Y,-31.63,Y,1274.07,N,C,,2025-01-07
532870,Ankit Metal  & Power Limited,ANKITMETAL,ANKIT METAL & POWER LTD.,Active,T ,10.0,INE106I01010,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,-5.19,N,24.08,N,-13.25,Y,-7.47,Y,-29.18,Y,891.43,N,C,,2025-01-07
532930,BGR ENERGY SYSTEMS LIMITED,BGRENERGY,BGR ENERGY SYSTEMS LTD.,Active,T ,10.0,INE661I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,8.23,N,130.33,N,-11.43,Y,12.0,Y,-55.44,Y,114.32,Y,C,20,2025-01-07
533048,Teamo Productions HQ Limited,TPHQ,Teamo Productions HQ Ltd,Active,T ,1.0,INE065J01024,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,-3.15,N,51.85,N,-5.13,Y,40.95,Y,48.0,Y,,N,C,,2025-01-07
533163,ARSS Infrastructure Projects Limited,ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD.,Active,T ,10.0,INE267I01010,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,13.65,N,56.6,N,-3.72,Y,-27.31,Y,-5.69,Y,93.58,N,C,,2025-01-07
533267,CANTABIL RETAIL INDIA LIMITED,CANTABIL,CANTABIL RETAIL INDIA LTD.,Active,B ,2.0,INE068L01024,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,-1.62,N,19.55,N,0.57,Y,20.96,N,0.9,Y,490.88,N,C,,2025-01-07
533543,BROOKS LABORATORIES LIMITED,BROOKS,BROOKS LABORATORIES LTD.,Active,T ,10.0,INE650L01011,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,8.23,N,40.55,N,9.75,Y,84.28,N,-11.11,Y,843.68,N,C,,2025-01-07
533638,FLEXITUFF VENTURES INTERNATIONAL LIMITED,FLEXITUFF,Flexituff Ventures International Ltd,Active,T ,10.0,INE060J01017,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,-1.2,N,16.27,N,-24.67,Y,91.06,N,11.01,Y,1602.65,N,C,,2025-01-07
533941,THOMAS SCOTT (INDIA) LIMITED,THOMASCOTT,THOMAS SCOTT (INDIA) LIMITED,Active,B ,10.0,INE480M01011,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,3.99,N,71.38,N,15.75,Y,10.75,Y,37.38,Y,7104.86,N,C,,2025-01-07
534675,PROZONE REALTY LIMITED,PROZONER,Prozone Realty Ltd,Active,B ,2.0,INE195N01013,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",30.67,N,47.37,N,-18.53,Y,-16.1,Y,-26.2,Y,220.78,N,C,,2025-01-07
538451,Worth Investment & Trading Co Limited,WORTH,Worth Investment & Trading Co Ltd,Active,X ,1.0,INE114O01020,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,-2.4,N,32.06,N,-14.97,Y,21.85,Y,14.43,Y,211.61,N,C,,2025-01-07
539872,Bajaj Healthcare Limited,BAJAJHCARE,Bajaj Healthcare Ltd,Active,B ,5.0,INE411U01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-0.13,N,32.73,N,-3.39,Y,32.79,N,1.05,Y,,N,C,,2025-01-07
540879,Apollo Micro Systems Limited,APOLLO,Apollo Micro Systems Ltd,Active,B ,1.0,INE713T01028,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,11.35,N,27.68,N,-3.07,Y,-1.28,Y,-10.78,Y,2230.79,N,C,,2025-01-07
